sim_time, AUV_mk4?world_pose/position/z
51.203, -0.00203814
51.204, -0.00203825
51.205, -0.00203836
51.206, -0.00203847
51.207, -0.00203858
51.208, -0.00203869
51.209, -0.0020388
51.21, -0.00203891
51.211, -0.00203902
51.212, -0.00203913
51.213, -0.00203924
51.214, -0.00203935
51.215, -0.00203946
51.216, -0.00203957
51.217, -0.00203969
51.218, -0.0020398
51.219, -0.00203991
51.22, -0.00204002
51.221, -0.00204013
51.222, -0.00204024
51.223, -0.00204036
51.224, -0.00204047
51.225, -0.00204058
51.226, -0.0020407
51.227, -0.00204081
51.228, -0.00204093
51.229, -0.00204105
51.23, -0.00204116
51.231, -0.00204128
51.232, -0.0020414
51.233, -0.00204152
51.234, -0.00204163
51.235, -0.00204175
51.236, -0.00204187
51.237, -0.00204199
51.238, -0.00204211
51.239, -0.00204223
51.24, -0.00204235
51.241, -0.00204247
51.242, -0.00204259
51.243, -0.00204272
51.244, -0.00204284
51.245, -0.00204296
51.246, -0.00204309
51.247, -0.00204321
51.248, -0.00204333
51.249, -0.00204346
51.25, -0.00204358
51.251, -0.00204371
51.252, -0.00204383
51.253, -0.00204396
51.254, -0.00204409
51.255, -0.00204421
51.256, -0.00204434
51.257, -0.00204447
51.258, -0.0020446
51.259, -0.00204473
51.26, -0.00204486
51.261, -0.00204498
51.262, -0.00204511
51.263, -0.00204525
51.264, -0.00204538
51.265, -0.00204551
51.266, -0.00204564
51.267, -0.00204577
51.268, -0.0020459
51.269, -0.00204604
51.27, -0.00204617
51.271, -0.0020463
51.272, -0.00204644
51.273, -0.00204657
51.274, -0.00204671
51.275, -0.00204684
51.276, -0.00204698
51.277, -0.00204712
51.278, -0.00204725
51.279, -0.00204739
51.28, -0.00204753
51.281, -0.00204766
51.282, -0.0020478
51.283, -0.00204794
51.284, -0.00204808
51.285, -0.00204822
51.286, -0.00204836
51.287, -0.0020485
51.288, -0.00204864
51.289, -0.00204878
51.29, -0.00204892
51.291, -0.00204907
51.292, -0.00204921
51.293, -0.00204935
51.294, -0.0020495
51.295, -0.00204964
51.296, -0.00204978
51.297, -0.00204993
51.298, -0.00205007
51.299, -0.00205022
51.3, -0.00205036
51.301, -0.00205051
51.302, -0.00205066
51.303, -0.00205081
51.304, -0.00205095
51.305, -0.00205109
51.306, -0.00205123
51.307, -0.00205138
51.308, -0.00205152
51.309, -0.00205166
51.31, -0.0020518
51.311, -0.00205195
51.312, -0.00205209
51.313, -0.00205223
51.314, -0.00205237
51.315, -0.00205251
51.316, -0.00205265
51.317, -0.0020528
51.318, -0.00205294
51.319, -0.00205308
51.32, -0.00205322
51.321, -0.00205337
51.322, -0.00205351
51.323, -0.00205365
